AdoptionSpeed,MaturitySize,FurLength,Dewormed,Vaccinated,Sterilized,Health,Fee,Age
3,1,1,3,3,3,2,0,3
2,1,2,1,1,2,1,0,3
4,2,1,1,2,2,1,30,5
2,2,2,1,1,1,1,0,24
1,3,2,2,2,2,1,0,4
4,1,1,3,3,3,1,0,2
1,2,1,2,2,2,1,0,1
4,2,1,1,1,3,1,0,9
4,2,1,2,2,1,1,0,60
2,2,2,2,2,2,1,0,2
3,2,3,1,1,2,1,0,2
1,2,2,1,1,2,1,0,48
4,2,1,2,2,2,1,0,3
2,1,1,1,2,2,1,0,4
2,2,1,2,2,2,1,0,9
4,2,2,1,1,1,1,0,62
4,2,1,1,1,1,1,0,36
3,2,2,1,2,2,1,0,1
1,1,1,3,1,2,1,0,2
4,1,1,1,1,2,1,0,2
2,2,2,2,2,2,1,100,1
0,2,1,1,2,2,1,0,2
4,3,1,1,1,2,1,0,2
3,2,1,1,1,1,1,0,12
1,2,2,1,1,2,1,0,2
3,2,1,1,1,2,1,0,1
4,2,1,2,1,2,1,0,2
1,1,3,1,1,3,1,750,3
2,2,2,1,2,2,1,0,3
3,2,2,3,3,2,1,0,3
3,2,2,1,2,2,1,50,6
2,2,2,2,2,2,1,0,1
4,2,3,2,2,2,1,0,47
2,3,2,3,3,3,1,0,2
3,2,2,1,1,1,1,0,12
3,2,1,1,1,2,1,0,2
3,2,1,2,2,2,1,0,1
4,1,2,2,2,2,1,0,1
4,2,1,2,2,2,1,0,1
3,3,1,2,2,2,2,0,24
4,2,1,2,2,1,1,0,24
3,2,1,2,2,2,1,0,2
1,3,3,1,1,2,1,0,19
3,1,3,1,3,1,1,0,4
3,2,1,2,2,2,1,0,24
1,2,2,3,3,2,1,0,3
2,1,2,2,2,2,1,0,1
2,2,2,3,3,1,1,0,24
4,2,2,1,1,1,1,0,60
3,2,2,1,1,2,1,0,1
1,1,1,1,1,2,1,0,3
2,1,2,2,2,2,1,0,2
0,2,1,1,1,2,1,1,1
3,2,1,2,2,2,1,0,2
1,2,1,1,2,2,1,0,2
4,2,1,1,1,2,1,0,3
3,3,1,2,2,2,1,0,2
4,2,2,2,1,1,1,0,12
2,2,1,1,1,2,1,0,4
4,3,1,3,3,3,1,0,120
4,2,1,2,2,2,1,0,3
4,1,2,2,2,2,1,0,1
1,3,2,1,1,2,1,0,36
4,1,1,1,2,2,1,0,3
4,2,2,1,1,2,1,0,60
1,2,1,1,2,3,1,0,1
1,2,2,1,1,2,1,150,3
2,3,1,1,1,1,1,0,36
2,2,2,2,1,2,1,400,12
3,1,1,3,2,2,1,0,1
1,3,1,3,3,3,1,0,0
2,1,2,2,2,2,1,0,1
3,2,1,1,1,1,1,0,5
3,2,2,3,3,3,1,0,24
1,2,2,1,1,2,1,0,3
4,1,1,3,3,3,1,0,3
4,2,1,1,2,2,1,0,4
1,2,2,3,3,3,1,0,3
2,1,2,2,2,2,1,0,1
2,2,1,1,1,2,1,50,8
4,2,1,2,2,2,1,0,2
4,2,1,1,1,1,1,0,32
2,3,1,1,1,2,1,0,3
3,2,2,2,2,2,1,0,12
3,2,2,1,1,1,1,0,4
2,2,1,3,2,2,1,0,2
2,2,1,1,1,2,1,0,7
3,2,3,1,2,2,1,100,5
2,2,2,1,1,2,1,0,2
3,2,1,1,1,1,1,0,60
2,2,2,2,2,2,1,0,4
1,2,1,1,1,2,1,0,120
2,2,1,1,1,1,1,0,12
3,1,1,3,3,1,1,0,17
2,2,1,2,2,2,1,0,2
2,2,2,1,1,1,1,0,48
3,2,1,2,1,2,1,0,4
3,2,2,1,3,1,1,0,12
1,3,3,1,2,2,1,0,12
2,2,1,1,1,2,1,0,3
4,2,2,2,2,2,1,0,1
3,3,2,3,3,3,2,0,36
4,2,1,3,3,3,1,0,12
4,2,2,1,1,2,1,80,2
2,2,1,1,1,1,1,0,36
2,2,2,2,2,2,1,0,1
1,1,1,2,2,2,1,0,1
1,2,2,3,3,3,1,0,0
1,2,1,1,1,2,1,0,2
3,2,1,1,1,2,1,30,2
4,2,2,2,2,2,1,0,2
4,2,2,1,1,1,1,0,36
4,2,1,3,3,3,1,0,3
3,2,2,1,1,2,1,0,2
2,3,1,1,3,3,1,0,1
2,2,1,1,2,2,1,0,2
0,1,1,2,2,2,1,0,2
2,2,1,1,1,2,1,80,2
4,2,1,1,3,2,1,0,3
4,2,2,1,1,1,1,150,17
3,2,1,3,3,3,1,0,2
2,3,1,1,1,2,1,20,48
2,2,1,2,2,2,1,0,1
2,2,2,2,2,2,1,150,5
2,2,1,3,3,1,1,0,8
4,1,1,1,1,1,1,0,4
3,2,1,1,1,2,1,0,3
4,2,1,1,1,1,1,0,72
4,2,1,3,3,3,1,0,12
4,2,2,1,2,2,1,0,12
4,2,1,1,1,1,1,0,12
3,2,1,1,1,2,1,0,22
4,2,2,3,3,2,1,0,36
3,2,2,3,3,2,1,0,2
4,2,1,3,3,1,1,0,4
2,2,2,1,1,2,1,0,12
4,1,1,2,2,2,1,50,7
1,2,1,2,2,2,1,0,2
4,1,1,1,2,3,1,0,3
4,2,1,1,1,1,1,0,24
1,2,3,2,2,2,1,0,1
2,2,1,2,2,2,1,0,1
2,3,1,1,1,2,1,0,3
4,1,1,2,1,3,1,0,5
1,1,1,1,1,3,1,0,16
2,2,1,1,1,2,1,0,2
4,1,2,3,3,3,1,0,2
1,2,1,1,1,3,1,0,7
4,2,1,1,2,2,1,0,13
3,2,1,1,1,1,1,0,3
4,2,1,1,1,2,1,0,12
2,1,1,1,1,2,1,0,3
4,2,2,2,2,2,1,0,2
3,2,1,1,1,1,1,0,10
1,2,1,1,2,2,1,0,2
3,2,1,2,2,2,1,0,2
1,3,1,2,2,2,1,0,4
3,2,2,1,1,1,1,0,60
4,2,1,2,2,2,1,30,2
4,2,1,1,1,1,1,0,12
1,1,1,2,2,2,1,0,2
1,2,1,2,2,2,2,0,0
3,3,1,1,1,2,1,0,2
4,2,1,1,2,1,1,0,6
2,3,1,3,3,2,1,0,3
1,2,2,1,2,2,1,0,1
1,1,1,2,2,2,1,0,2
1,2,2,2,2,2,1,50,3
4,2,1,1,1,1,1,80,19
4,2,1,1,1,1,1,50,11
4,2,1,1,1,1,1,0,37
2,1,3,2,2,3,1,250,4
1,2,1,1,2,1,1,0,3
3,2,1,1,1,1,1,0,6
2,2,1,2,2,2,1,0,1
4,2,1,3,3,3,1,0,5
3,2,1,2,2,2,1,0,1
2,2,1,1,2,2,1,0,7
4,2,2,1,2,2,1,1,4
4,2,1,2,2,2,1,0,1
3,2,1,1,1,1,1,0,48
1,1,1,2,2,2,1,0,3
1,2,2,1,1,2,1,0,2
1,1,1,1,1,3,1,0,4
1,2,1,1,1,2,1,0,22
1,1,3,1,1,1,1,0,60
1,2,2,2,2,2,1,0,1
2,2,1,3,3,2,1,0,3
2,2,1,1,2,2,1,0,3
2,2,2,3,3,3,1,0,4
1,2,2,1,1,2,1,0,13
3,1,1,3,3,3,1,0,1
1,2,2,1,1,2,1,0,5
3,2,2,1,2,2,1,0,2
1,2,2,2,2,2,1,0,1
2,2,1,1,1,2,1,0,2
3,2,1,1,1,1,1,0,36
4,2,1,1,1,2,1,0,2
2,2,2,1,2,2,1,0,2
1,2,1,1,2,2,1,0,2
2,2,1,1,1,1,1,0,8
3,2,2,1,1,2,1,0,2
2,1,1,1,1,1,1,0,9
2,2,1,3,3,3,1,0,6
2,2,1,2,2,2,1,0,2
0,2,1,1,1,1,1,0,18
0,3,2,1,1,1,1,0,14
3,1,1,2,2,2,1,0,3
1,2,1,1,2,2,1,0,2
4,3,1,1,2,2,1,50,1
4,2,2,1,1,1,1,0,12
4,2,1,3,2,1,1,0,12
1,2,1,2,2,2,1,0,1
4,2,1,1,1,1,1,0,9
3,2,2,1,1,2,1,0,2
2,1,2,2,2,2,1,0,2
1,2,1,2,2,2,1,0,2
1,2,1,3,3,3,1,0,3
1,2,2,2,2,2,1,0,3
4,1,1,1,1,1,1,200,6
2,1,1,2,2,2,1,0,3
2,2,1,2,2,1,1,0,24
2,3,1,2,2,3,1,0,3
4,2,1,1,1,1,2,20,24
1,2,2,2,2,2,1,0,1
3,2,2,1,2,2,1,250,2
2,2,2,1,1,2,1,0,2
3,2,1,1,1,2,1,0,7
1,1,3,2,2,2,1,150,3
3,2,1,2,2,2,1,0,1
2,2,1,1,1,2,1,0,1
2,2,1,1,1,1,1,0,55
2,2,1,1,1,2,1,0,2
3,2,2,1,1,1,1,0,3
3,2,2,3,3,1,1,0,36
2,2,3,1,2,2,1,0,1
4,2,2,2,2,2,1,0,6
1,2,2,2,2,2,1,0,6
1,2,2,2,2,2,2,0,4
1,2,2,1,1,2,1,0,2
2,2,1,1,1,2,1,0,5
1,3,2,1,2,2,1,0,20
3,2,1,1,1,2,1,0,2
1,2,2,3,1,3,1,0,7
1,2,1,1,2,2,1,0,1
4,2,2,1,1,2,1,0,2
3,2,1,2,2,2,1,0,1
2,3,3,1,1,2,1,0,28
4,2,2,1,1,1,1,250,24
2,2,1,1,2,2,1,0,2
4,2,2,1,1,1,1,0,12
4,2,1,2,2,2,1,0,4
2,2,2,1,1,2,1,0,2
1,1,1,1,1,2,1,0,2
1,2,2,2,2,2,1,0,1
4,1,1,2,2,2,1,0,1
1,2,1,3,3,3,1,300,5
4,2,2,1,1,1,1,0,22
4,2,2,1,1,1,1,0,36
2,2,2,1,1,1,1,0,36
4,2,1,1,1,2,1,0,8
4,2,1,1,2,1,1,0,10
4,2,1,1,2,2,1,0,2
4,1,2,2,2,2,1,0,2
4,2,1,1,3,3,1,0,3
3,2,1,2,2,2,1,0,3
4,2,1,1,3,1,1,0,0
3,1,2,1,3,1,1,0,60
2,2,1,1,1,2,1,0,2
4,2,1,2,2,2,1,0,2
1,2,2,1,1,1,1,0,12
3,2,2,1,2,2,1,0,1
2,3,1,3,3,3,1,0,2
1,2,1,1,2,2,1,0,2
3,2,2,2,2,2,1,0,1
4,3,1,3,3,1,2,0,24
4,2,1,1,1,1,1,200,3
4,2,1,1,2,2,1,0,2
3,2,1,2,2,2,1,0,2
4,1,2,3,3,3,1,0,12
4,2,2,1,2,2,1,0,12
3,2,1,1,1,2,1,0,1
2,2,1,1,1,1,1,0,11
2,2,2,1,3,3,1,0,74
3,2,3,1,1,1,1,0,36
3,2,2,1,2,2,1,0,3
3,2,1,1,1,2,1,0,2
3,2,2,1,1,2,1,0,3
1,1,1,1,1,2,1,0,48
3,1,1,1,3,1,1,60,3
3,2,1,1,1,1,1,0,2
2,1,2,3,3,2,1,0,36
2,2,3,1,2,2,1,0,3
1,1,1,2,2,2,1,0,4
1,2,1,2,2,2,1,0,2
3,2,1,1,2,2,1,0,1
2,2,1,1,1,1,1,0,60
2,2,2,1,1,2,1,0,2
4,2,2,1,1,2,1,0,4
3,3,2,1,1,2,1,0,3
1,2,1,1,2,2,1,0,2
4,2,1,1,1,1,1,0,3
2,2,2,2,2,2,1,0,2
1,1,2,1,2,2,1,0,1
4,2,1,1,1,1,1,0,18
4,1,2,2,2,2,1,0,1
2,2,1,1,1,2,1,20,3
2,2,2,1,1,1,1,120,6
2,3,2,3,3,3,1,0,6
2,2,1,1,1,2,1,0,2
3,2,1,3,3,3,1,0,24
4,2,1,3,3,3,1,0,6
2,2,2,1,2,2,1,0,2
1,1,2,1,1,2,1,0,48
1,2,1,2,2,2,1,1,2
2,2,1,1,2,2,1,0,3
1,2,1,1,2,2,1,0,1
4,2,2,3,1,3,1,0,53
4,1,1,2,2,2,1,0,1
4,2,2,1,1,1,1,0,7
2,1,1,2,2,2,1,0,4
2,2,2,1,2,2,1,0,1
2,2,1,1,2,2,1,0,1
2,1,1,1,2,2,1,0,2
4,2,1,3,3,3,1,0,48
4,2,1,3,3,3,1,0,1
1,1,1,2,2,2,1,0,2
2,2,1,3,3,2,1,0,1
2,1,3,1,1,2,2,300,48
2,1,1,2,2,2,1,0,1
4,2,1,1,1,1,1,100,3
1,3,2,1,1,2,1,0,7
4,2,1,1,1,2,1,0,3
2,2,1,1,1,2,1,0,1
3,1,1,2,2,2,1,0,3
2,2,1,2,2,2,1,0,3
4,2,2,3,3,1,1,150,12
3,2,1,1,1,2,1,0,2
2,1,1,2,2,2,1,0,2
4,1,2,1,3,2,1,0,3
1,2,3,1,1,2,1,100,25
1,2,1,3,3,3,1,0,14
2,3,2,1,2,2,1,0,1
3,2,2,1,1,2,1,0,1
4,1,1,3,3,2,1,30,1
1,2,2,1,1,2,1,0,10
4,2,1,1,2,2,1,0,7
4,1,1,2,2,2,1,0,2
1,2,2,2,2,2,1,0,1
1,2,2,1,1,1,1,150,12
4,2,2,1,1,1,2,0,84
1,2,1,2,2,2,1,0,3
4,2,2,1,2,2,1,0,6
4,1,1,1,1,2,1,40,4
2,2,1,1,1,2,1,0,8
3,2,1,2,2,2,1,0,1
0,2,1,1,2,2,1,0,1
0,2,1,2,2,2,1,0,18
4,1,1,2,2,2,1,0,2
4,2,2,2,2,1,1,0,36
3,2,2,3,3,2,1,0,2
4,2,2,3,1,3,1,0,6
3,1,1,2,2,2,1,0,2
1,3,1,2,2,2,1,50,1
4,2,1,1,1,1,1,0,18
2,3,2,1,2,2,1,0,4
4,2,1,2,2,2,1,0,6
2,2,1,1,2,2,1,0,2
3,2,1,1,3,3,1,0,4
3,2,2,1,2,2,1,0,2
3,2,2,2,2,2,1,0,1
3,2,1,1,1,2,1,0,2
2,2,1,2,2,2,1,0,8
4,2,2,1,1,2,1,0,1
4,1,1,3,3,3,1,0,3
1,2,1,1,1,2,1,0,3
2,2,3,1,1,2,1,100,3
3,2,2,2,2,2,1,0,4
2,1,1,2,2,2,1,0,12
1,2,2,2,2,2,1,0,0
1,3,3,1,1,2,1,0,72
1,1,2,2,2,2,1,0,1
1,2,1,3,3,3,1,0,1
4,1,1,1,1,2,1,0,3
4,2,2,3,3,3,1,0,12
3,2,2,1,1,2,1,0,2
1,2,1,3,3,2,1,0,2
4,2,2,1,3,3,1,0,4
1,2,1,1,1,1,1,0,3
1,2,1,2,2,2,1,0,4
4,1,1,3,3,3,1,0,3
3,2,1,1,1,1,2,0,4
2,2,1,1,2,1,1,100,12
1,2,2,1,1,1,1,0,36
1,2,3,1,2,2,1,100,2
1,2,1,1,1,2,1,0,4
1,1,2,1,1,2,1,0,5
3,2,2,1,2,2,1,0,12
1,2,1,3,3,3,1,0,5
1,2,1,2,2,2,1,0,2
4,2,1,2,2,2,1,0,48
4,2,2,1,1,2,1,0,5
3,2,1,1,2,2,1,0,2
4,1,1,3,3,3,1,0,5
2,1,1,1,3,2,1,0,4
1,2,2,2,2,2,1,0,2
4,2,2,2,2,2,1,0,3
2,1,1,2,2,2,1,0,4
1,2,2,3,3,3,1,0,5
2,1,1,1,1,2,1,0,3
2,2,1,2,2,2,1,0,2
2,2,2,2,2,2,1,0,2
3,2,1,1,1,2,1,0,4
4,3,1,1,1,2,1,0,3
2,2,1,1,1,1,1,0,12
2,1,1,1,2,2,2,0,4
4,2,1,1,1,1,1,0,5
4,2,1,1,1,2,1,0,2
3,2,1,3,3,2,1,0,2
4,2,1,1,2,2,1,0,1
1,1,2,1,1,2,1,0,3
2,2,2,2,2,2,1,0,2
4,2,1,1,1,2,1,0,17
0,1,1,1,1,3,1,0,8
1,2,2,1,2,2,1,0,5
4,2,1,2,2,2,1,0,12
3,2,2,1,1,1,1,150,12
4,2,1,1,1,1,1,100,5
3,2,1,1,2,2,1,0,2
2,1,1,1,3,3,2,0,24
1,2,1,1,1,2,1,0,5
4,2,1,1,2,2,1,50,2
4,2,2,3,3,3,1,0,2
1,2,2,1,1,2,1,0,2
1,2,2,1,1,2,1,0,36
4,3,3,2,2,2,1,0,24
4,2,3,1,2,2,2,0,9
4,2,1,3,3,3,1,0,1
4,2,2,1,1,1,1,0,3
3,1,1,1,1,1,1,0,10
2,2,1,1,1,1,1,0,12
1,2,1,1,2,2,1,0,3
2,1,1,1,1,1,1,0,48
1,2,3,1,1,2,1,0,24
2,2,2,1,1,2,1,0,76
3,1,2,3,3,3,1,0,2
1,2,2,2,2,2,1,0,30
2,1,1,1,1,2,1,0,2
3,2,2,2,2,2,1,0,1
2,2,3,1,1,1,1,0,48
2,2,1,1,1,2,1,30,9
4,2,3,1,1,1,1,0,12
4,1,1,1,1,1,1,0,6
1,2,1,1,2,2,1,0,1
4,1,2,1,2,2,1,100,4
2,1,1,1,1,3,1,0,18
3,2,1,2,2,2,1,0,1
3,2,1,2,2,2,1,0,2
4,2,1,1,2,2,1,0,2
3,2,1,1,1,1,1,0,132
4,3,2,1,1,1,1,0,16
4,1,1,3,3,3,1,0,84
4,2,2,3,3,3,1,0,48
1,2,1,1,2,2,1,0,2
1,2,3,3,1,3,1,0,12
1,2,2,1,1,2,1,0,2
4,3,3,1,1,1,1,0,72
1,2,2,3,3,3,1,0,3
2,1,2,1,1,3,1,0,60
2,1,1,1,2,2,1,0,2
2,2,2,2,2,2,1,0,2
4,1,1,2,2,2,1,0,1
4,2,1,1,1,2,1,0,7
1,2,1,2,2,2,1,0,3
4,1,1,2,2,2,3,0,6
1,1,1,2,2,2,1,0,2
2,2,1,1,1,2,1,0,3
3,2,1,1,3,2,1,0,2
1,2,2,2,2,2,1,0,2
4,2,2,2,2,2,1,0,1
1,2,2,1,1,2,1,0,4
3,2,1,1,1,1,1,500,24
2,2,2,1,2,2,2,0,2
4,3,2,3,3,3,1,0,24
4,1,2,3,3,2,1,0,12
1,1,2,2,2,2,1,200,3
2,2,1,2,2,2,1,0,1
2,2,1,2,2,2,1,200,2
4,3,1,1,1,1,1,0,12
4,1,1,1,1,1,1,0,12
3,2,1,1,2,2,1,0,3
4,2,1,1,2,2,1,0,2
3,2,1,2,2,2,1,0,1
4,1,1,1,1,2,2,0,72
1,1,1,3,3,3,1,0,2
1,2,1,1,1,2,1,100,1
3,3,1,1,1,1,1,0,36
3,2,1,3,3,2,1,0,3
3,1,1,3,3,3,1,0,2
4,3,1,1,1,1,1,0,24
4,2,1,1,1,1,1,100,11
2,2,2,2,2,2,1,0,12
4,1,2,3,3,3,1,0,3
4,1,2,2,2,2,1,0,12
1,3,1,1,1,1,1,200,60
4,1,2,1,2,2,1,0,1
3,2,1,1,2,2,1,0,2
3,3,1,1,1,2,1,0,6
2,2,1,3,3,3,1,0,3
4,2,2,1,2,3,1,0,2
1,1,1,2,2,2,1,0,2
4,3,1,1,2,2,1,0,3
2,2,1,2,2,2,1,0,5
2,2,2,1,1,1,1,200,24
1,1,2,2,2,2,1,0,4
4,2,1,2,2,2,1,0,3
3,2,2,1,1,2,1,0,4
4,2,1,1,1,1,1,0,19
1,2,2,1,2,2,1,50,2
1,2,1,2,2,3,1,0,2
3,1,2,1,2,2,1,0,6
3,3,2,2,2,2,1,100,2
2,2,2,1,1,2,1,0,2
4,3,1,1,1,1,1,50,12
4,2,1,1,1,1,1,0,11
0,1,2,2,2,2,1,0,2
4,2,2,1,2,1,1,0,36
1,2,1,3,3,1,1,0,12
4,2,2,3,3,3,1,0,1
4,1,1,3,3,3,1,0,8
2,1,1,1,1,3,1,0,24
2,2,1,2,2,2,1,100,1
3,2,1,2,2,2,1,1,3
4,2,2,1,1,2,1,0,3
2,3,2,2,2,2,1,50,2
2,1,1,1,3,3,1,0,12
2,2,1,1,1,1,1,0,8
1,2,2,1,2,2,1,0,1
3,2,2,1,2,2,1,50,2
2,2,3,2,2,2,1,0,1
4,2,1,1,1,1,1,0,12
3,2,2,3,1,3,1,0,6
3,2,1,1,2,2,1,0,2
4,2,2,3,3,3,1,0,48
2,2,2,3,3,2,1,0,1
3,2,1,2,2,2,1,0,0
4,2,2,1,1,1,1,0,60
2,2,1,2,2,2,1,0,0
2,2,1,1,1,2,1,0,2
2,2,1,2,2,2,1,0,3
4,2,1,2,2,2,1,0,3
4,2,2,2,2,2,1,0,2
4,2,1,2,2,2,1,0,2
2,2,2,2,2,2,1,0,1
4,3,1,1,1,1,1,200,24
4,2,2,2,2,2,1,0,10
3,2,1,1,1,2,1,0,2
2,3,3,2,2,2,1,50,1
2,1,3,1,1,1,1,150,60
2,2,1,2,2,2,1,15,1
3,2,1,1,1,2,1,100,4
4,2,1,1,1,1,1,150,5
4,2,1,1,1,1,1,100,7
4,3,1,3,3,1,1,0,36
3,2,1,1,1,3,1,0,2
2,2,1,1,2,2,1,100,2
3,2,1,3,3,2,1,0,2
2,2,1,2,2,2,1,0,0
2,1,2,2,2,2,1,0,1
2,2,1,2,2,2,1,0,2
1,2,1,1,1,2,1,0,2
3,1,2,1,1,2,1,80,4
4,2,2,2,2,2,1,0,1
1,1,1,1,2,2,1,0,3
4,2,1,1,1,2,1,0,3
4,1,2,1,3,3,2,100,60
2,3,1,1,1,2,1,0,5
1,1,2,2,2,2,1,0,2
4,2,2,3,3,3,1,0,12
3,2,1,1,2,2,1,0,2
2,2,1,1,2,2,1,0,2
2,3,1,1,2,1,1,0,14
1,1,1,2,2,2,1,0,1
2,2,1,3,3,3,1,0,8
4,1,1,1,1,2,1,100,3
4,2,2,1,1,1,1,0,8
4,1,2,1,1,1,1,30,6
1,1,1,2,2,2,1,0,1
1,2,1,1,1,2,1,0,1
4,2,1,1,2,1,1,0,18
1,2,2,1,2,2,2,0,60
4,2,1,1,2,2,1,0,12
1,2,1,1,1,3,1,100,6
4,1,2,2,2,2,1,0,2
4,1,2,2,2,2,1,0,2
1,1,2,3,2,2,1,0,2
2,2,1,1,2,2,1,0,2
2,2,1,2,2,3,1,0,5
2,2,1,2,2,2,1,0,2
1,3,2,1,1,2,1,0,24
3,1,2,1,2,2,1,0,2
4,1,1,1,1,1,1,0,5
4,2,2,1,1,1,1,0,24
4,2,1,1,2,2,1,0,2
2,2,1,1,1,2,1,0,1
1,2,2,2,2,2,1,0,2
2,1,1,1,2,2,1,0,4
3,1,1,1,1,3,1,250,36
3,2,1,1,1,3,1,0,12
3,1,1,1,1,1,1,0,12
2,2,1,2,2,2,1,0,2
1,1,1,1,1,1,1,0,84
4,2,2,2,2,2,1,0,4
1,3,3,1,1,2,1,500,7
2,2,1,1,2,2,1,50,2
4,2,1,2,2,2,1,0,9
2,2,1,1,2,2,1,0,1
4,1,2,1,2,2,1,0,3
3,1,1,2,2,2,1,0,3
4,2,2,1,1,1,1,0,24
1,1,2,2,2,2,1,40,4
3,2,3,1,1,2,1,0,1
2,2,1,2,2,2,1,0,5
4,2,2,1,2,2,1,0,3
2,2,2,2,2,2,1,0,2
4,1,1,3,3,3,2,0,4
4,2,1,1,1,2,1,0,2
1,3,2,1,1,1,1,0,24
0,2,2,3,3,2,1,0,1
4,2,1,1,1,1,1,0,9
2,3,2,1,1,2,1,0,4
4,2,2,1,1,1,1,0,96
2,2,1,1,2,1,2,0,60
4,2,2,3,3,3,1,0,72
3,3,1,2,2,2,1,0,46
2,2,1,1,2,2,1,0,2
4,2,2,3,3,3,1,0,1
4,2,1,3,3,3,1,100,1
3,1,1,3,3,3,1,0,3
3,1,1,1,2,2,1,0,2
4,2,2,1,1,2,1,100,2
4,1,1,1,1,3,2,0,3
1,2,1,2,2,2,1,0,2
2,2,2,1,1,1,1,135,6
1,1,1,1,1,2,1,0,2
4,2,2,1,3,3,1,0,12
3,1,2,1,1,2,1,0,8
2,2,1,2,2,2,1,0,2
4,2,3,1,1,1,1,0,48
3,1,2,2,2,2,1,0,1
1,2,1,1,2,2,1,0,1
4,2,1,1,2,1,1,0,2
2,2,1,2,2,2,1,0,6
3,2,1,2,2,2,1,0,3
2,2,2,2,2,2,1,0,0
0,1,2,2,2,2,1,0,3
3,2,1,1,1,1,1,0,12
1,2,2,1,1,2,1,50,2
3,2,1,2,2,2,1,0,9
1,2,1,1,1,2,1,0,3
2,2,1,1,1,2,1,0,4
2,2,1,1,2,2,1,0,2
3,2,1,3,3,2,1,0,3
2,2,1,1,2,2,2,0,4
3,2,1,1,2,2,1,0,3
4,3,1,1,2,3,1,0,2
2,1,1,1,2,2,1,50,2
1,2,2,2,2,2,1,150,2
1,1,2,1,1,1,1,0,10
2,2,2,3,3,3,1,0,12
3,1,2,1,1,2,1,200,15
1,2,2,2,2,2,1,0,5
2,1,1,3,3,3,1,0,3
2,3,2,1,1,2,1,0,3
1,2,1,2,2,2,1,0,1
4,1,2,1,1,1,1,0,6
4,2,1,1,1,1,1,0,36
3,1,2,1,2,2,1,0,2
1,2,1,2,2,2,1,0,2
1,3,1,3,3,3,1,0,2
1,2,2,2,2,2,1,0,2
1,2,2,2,2,2,1,0,5
1,1,1,1,2,2,1,0,1
1,2,1,3,3,3,1,0,1
3,2,2,1,1,1,1,0,24
1,2,1,2,2,2,1,5,1
0,1,2,3,1,3,1,0,2
1,2,1,1,2,2,1,0,2
2,2,1,1,3,3,1,0,2
3,2,2,1,2,2,1,0,5
3,2,1,2,2,2,1,0,3
1,3,3,2,2,2,1,0,1
3,2,2,1,2,2,1,0,2
2,2,2,2,2,2,1,0,1
3,2,2,1,1,1,1,0,10
3,2,2,1,2,2,1,0,1
3,2,1,3,3,1,1,300,60
3,2,2,1,1,2,1,0,2
2,2,2,1,3,2,1,0,5
3,1,2,1,1,3,1,100,50
2,2,1,2,2,2,1,50,2
4,1,1,2,2,2,1,0,1
4,1,1,1,1,2,3,0,72
1,2,2,3,3,3,1,0,1
3,2,1,1,2,2,1,0,3
4,1,2,2,2,2,1,0,1
1,3,2,1,1,2,1,0,17
2,2,1,1,2,2,1,0,1
3,2,1,1,1,2,1,0,2
2,2,3,1,1,2,1,0,84
4,2,1,1,1,1,1,0,24
3,1,1,2,2,2,1,0,1
4,2,1,2,2,2,1,0,8
3,2,2,1,2,2,1,0,1
3,2,1,1,1,2,1,0,8
4,1,1,3,3,3,1,10,1
4,2,1,1,1,1,1,0,48
2,2,2,1,1,2,1,0,4
