AdoptionSpeed,MaturitySize,FurLength,Dewormed,Vaccinated,Sterilized,Health,Fee,Age,NameCounts,Named
1,1,1,3,1,2,1,0,2,1,1
4,1,1,1,1,2,1,0,2,5,1
2,2,2,2,2,2,1,100,1,1,1
0,2,1,1,2,2,1,0,2,35,1
4,3,1,1,1,2,1,0,2,1,1
3,2,1,1,1,1,1,0,12,4,1
1,2,2,1,1,2,1,0,2,1,1
3,2,1,1,1,2,1,0,1,0,0
4,2,1,2,1,2,1,0,2,1,1
1,1,3,1,1,3,1,750,3,17,1
2,2,2,1,2,2,1,0,3,1,1
3,2,2,3,3,2,1,0,3,5,1
3,2,2,1,2,2,1,50,6,1,1
2,2,2,2,2,2,1,0,1,1,1
4,2,3,2,2,2,1,0,47,17,1
2,3,2,3,3,3,1,0,2,1,1
3,2,2,1,1,1,1,0,12,1,1
3,2,1,1,1,2,1,0,2,22,1
3,2,1,2,2,2,1,0,1,1,1
4,1,2,2,2,2,1,0,1,1,1
4,2,1,2,2,2,1,0,1,0,0
3,3,1,2,2,2,2,0,24,1,1
4,2,1,2,2,1,1,0,24,4,1
3,2,1,2,2,2,1,0,2,2,1
1,3,3,1,1,2,1,0,19,5,1
3,1,3,1,3,1,1,0,4,11,1
3,2,1,2,2,2,1,0,24,2,1
1,2,2,3,3,2,1,0,3,0,0
2,1,2,2,2,2,1,0,1,0,0
2,2,2,3,3,1,1,0,24,2,1
4,2,2,1,1,1,1,0,60,1,1
3,2,2,1,1,2,1,0,1,2,1
1,1,1,1,1,2,1,0,3,10,1
2,1,2,2,2,2,1,0,2,1,1
0,2,1,1,1,2,1,1,1,1,1
3,2,1,2,2,2,1,0,2,1,1
1,2,1,1,2,2,1,0,2,0,0
4,2,1,1,1,2,1,0,3,1,1
3,3,1,2,2,2,1,0,2,0,0
4,2,2,2,1,1,1,0,12,52,1
2,2,1,1,1,2,1,0,4,1,1
4,3,1,3,3,3,1,0,120,0,0
4,2,1,2,2,2,1,0,3,3,1
4,1,2,2,2,2,1,0,1,0,0
1,3,2,1,1,2,1,0,36,1,1
4,1,1,1,2,2,1,0,3,0,0
4,2,2,1,1,2,1,0,60,0,0
1,2,1,1,2,3,1,0,1,1,1
1,2,2,1,1,2,1,150,3,0,0
2,3,1,1,1,1,1,0,36,2,1
2,2,2,2,1,2,1,400,12,9,1
3,1,1,3,2,2,1,0,1,1,1
1,3,1,3,3,3,1,0,0,1,1
2,1,2,2,2,2,1,0,1,1,1
3,2,1,1,1,1,1,0,5,1,1
3,2,2,3,3,3,1,0,24,10,1
1,2,2,1,1,2,1,0,3,32,1
4,1,1,3,3,3,1,0,3,1,1
4,2,1,1,2,2,1,0,4,1,1
1,2,2,3,3,3,1,0,3,1,1
2,1,2,2,2,2,1,0,1,1,1
2,2,1,1,1,2,1,50,8,1,1
4,2,1,2,2,2,1,0,2,1,1
4,2,1,1,1,1,1,0,32,1,1
2,3,1,1,1,2,1,0,3,1,1
3,2,2,2,2,2,1,0,12,1,1
3,2,2,1,1,1,1,0,4,5,1
2,2,1,3,2,2,1,0,2,7,1
2,2,1,1,1,2,1,0,7,5,1
3,2,3,1,2,2,1,100,5,1,1
2,2,2,1,1,2,1,0,2,1,1
3,2,1,1,1,1,1,0,60,1,1
2,2,2,2,2,2,1,0,4,2,1
1,2,1,1,1,2,1,0,120,0,0
2,2,1,1,1,1,1,0,12,9,1
3,1,1,3,3,1,1,0,17,4,1
2,2,1,2,2,2,1,0,2,1,1
2,2,2,1,1,1,1,0,48,4,1
3,2,1,2,1,2,1,0,4,2,1
3,2,2,1,3,1,1,0,12,3,1
1,3,3,1,2,2,1,0,12,4,1
2,2,1,1,1,2,1,0,3,28,1
4,2,2,2,2,2,1,0,1,1,1
3,3,2,3,3,3,2,0,36,0,0
4,2,1,3,3,3,1,0,12,0,0
4,2,2,1,1,2,1,80,2,1,1
2,2,1,1,1,1,1,0,36,7,1
2,2,2,2,2,2,1,0,1,1,1
1,1,1,2,2,2,1,0,1,0,0
1,2,2,3,3,3,1,0,0,0,0
1,2,1,1,1,2,1,0,2,2,1
3,2,1,1,1,2,1,30,2,1,1
4,2,2,2,2,2,1,0,2,0,0
4,2,2,1,1,1,1,0,36,0,0
4,2,1,3,3,3,1,0,3,1,1
3,2,2,1,1,2,1,0,2,8,1
2,3,1,1,3,3,1,0,1,1,1
2,2,1,1,2,2,1,0,2,1,1
0,1,1,2,2,2,1,0,2,1,1
2,2,1,1,1,2,1,80,2,11,1
4,2,1,1,3,2,1,0,3,1,1
4,2,2,1,1,1,1,150,17,3,1
3,2,1,3,3,3,1,0,2,1,1
2,3,1,1,1,2,1,20,48,1,1
2,2,1,2,2,2,1,0,1,1,1
2,2,2,2,2,2,1,150,5,1,1
2,2,1,3,3,1,1,0,8,1,1
4,1,1,1,1,1,1,0,4,2,1
3,2,1,1,1,2,1,0,3,8,1
4,2,1,1,1,1,1,0,72,5,1
4,2,1,3,3,3,1,0,12,2,1
4,2,2,1,2,2,1,0,12,0,0
4,2,1,1,1,1,1,0,12,1,1
3,2,1,1,1,2,1,0,22,7,1
4,2,2,3,3,2,1,0,36,36,1
3,2,2,3,3,2,1,0,2,1,1
4,2,1,3,3,1,1,0,4,5,1
2,2,2,1,1,2,1,0,12,22,1
4,1,1,2,2,2,1,50,7,1,1
1,2,1,2,2,2,1,0,2,0,0
4,1,1,1,2,3,1,0,3,1,1
4,2,1,1,1,1,1,0,24,1,1
1,2,3,2,2,2,1,0,1,5,1
2,2,1,2,2,2,1,0,1,17,1
2,3,1,1,1,2,1,0,3,1,1
4,1,1,2,1,3,1,0,5,1,1
1,1,1,1,1,3,1,0,16,7,1
2,2,1,1,1,2,1,0,2,1,1
4,1,2,3,3,3,1,0,2,0,0
1,2,1,1,1,3,1,0,7,1,1
4,2,1,1,2,2,1,0,13,1,1
3,2,1,1,1,1,1,0,3,1,1
4,2,1,1,1,2,1,0,12,49,1
2,1,1,1,1,2,1,0,3,2,1
4,2,2,2,2,2,1,0,2,1,1
3,2,1,1,1,1,1,0,10,17,1
1,2,1,1,2,2,1,0,2,1,1
3,2,1,2,2,2,1,0,2,1,1
1,3,1,2,2,2,1,0,4,1,1
3,2,2,1,1,1,1,0,60,1,1
4,2,1,2,2,2,1,30,2,1,1
4,2,1,1,1,1,1,0,12,15,1
1,1,1,2,2,2,1,0,2,2,1
1,2,1,2,2,2,2,0,0,1,1
3,3,1,1,1,2,1,0,2,1,1
4,2,1,1,2,1,1,0,6,3,1
2,3,1,3,3,2,1,0,3,1,1
1,2,2,1,2,2,1,0,1,6,1
1,1,1,2,2,2,1,0,2,3,1
1,2,2,2,2,2,1,50,3,1,1
4,2,1,1,1,1,1,80,19,1,1
4,2,1,1,1,1,1,50,11,9,1
4,2,1,1,1,1,1,0,37,1,1
2,1,3,2,2,3,1,250,4,2,1
1,2,1,1,2,1,1,0,3,2,1
3,2,1,1,1,1,1,0,6,32,1
2,2,1,2,2,2,1,0,1,26,1
4,2,1,3,3,3,1,0,5,49,1
3,2,1,2,2,2,1,0,1,1,1
2,2,1,1,2,2,1,0,7,1,1
4,2,2,1,2,2,1,1,4,11,1
4,2,1,2,2,2,1,0,1,1,1
3,2,1,1,1,1,1,0,48,16,1
1,1,1,2,2,2,1,0,3,9,1
1,2,2,1,1,2,1,0,2,14,1
1,1,1,1,1,3,1,0,4,1,1
1,2,1,1,1,2,1,0,22,8,1
1,1,3,1,1,1,1,0,60,3,1
1,2,2,2,2,2,1,0,1,0,0
2,2,1,3,3,2,1,0,3,4,1
2,2,1,1,2,2,1,0,3,1,1
2,2,2,3,3,3,1,0,4,16,1
1,2,2,1,1,2,1,0,13,1,1
3,1,1,3,3,3,1,0,1,7,1
1,2,2,1,1,2,1,0,5,1,1
3,2,2,1,2,2,1,0,2,1,1
1,2,2,2,2,2,1,0,1,0,0
2,2,1,1,1,2,1,0,2,1,1
3,2,1,1,1,1,1,0,36,2,1
4,2,1,1,1,2,1,0,2,1,1
2,2,2,1,2,2,1,0,2,1,1
1,2,1,1,2,2,1,0,2,12,1
2,2,1,1,1,1,1,0,8,1,1
3,2,2,1,1,2,1,0,2,1,1
2,1,1,1,1,1,1,0,9,5,1
2,2,1,3,3,3,1,0,6,14,1
2,2,1,2,2,2,1,0,2,1,1
0,2,1,1,1,1,1,0,18,1,1
0,3,2,1,1,1,1,0,14,6,1
3,1,1,2,2,2,1,0,3,1,1
1,2,1,1,2,2,1,0,2,0,0
4,3,1,1,2,2,1,50,1,1,1
4,2,2,1,1,1,1,0,12,1,1
4,2,1,3,2,1,1,0,12,1,1
1,2,1,2,2,2,1,0,1,1,1
4,2,1,1,1,1,1,0,9,3,1
3,2,2,1,1,2,1,0,2,9,1
2,1,2,2,2,2,1,0,2,7,1
1,2,1,2,2,2,1,0,2,1,1
1,2,1,3,3,3,1,0,3,54,1
1,2,2,2,2,2,1,0,3,1,1
4,1,1,1,1,1,1,200,6,1,1
2,1,1,2,2,2,1,0,3,1,1
2,2,1,2,2,1,1,0,24,0,0
2,3,1,2,2,3,1,0,3,1,1
4,2,1,1,1,1,2,20,24,2,1
1,2,2,2,2,2,1,0,1,12,1
3,2,2,1,2,2,1,250,2,1,1
2,2,2,1,1,2,1,0,2,2,1
3,2,1,1,1,2,1,0,7,1,1
1,1,3,2,2,2,1,150,3,1,1
3,2,1,2,2,2,1,0,1,10,1
2,2,1,1,1,2,1,0,1,1,1
2,2,1,1,1,1,1,0,55,2,1
2,2,1,1,1,2,1,0,2,1,1
3,2,2,1,1,1,1,0,3,4,1
3,2,2,3,3,1,1,0,36,28,1
2,2,3,1,2,2,1,0,1,1,1
4,2,2,2,2,2,1,0,6,1,1
1,2,2,2,2,2,1,0,6,1,1
1,2,2,2,2,2,2,0,4,1,1
1,2,2,1,1,2,1,0,2,2,1
2,2,1,1,1,2,1,0,5,1,1
1,3,2,1,2,2,1,0,20,8,1
3,2,1,1,1,2,1,0,2,8,1
1,2,2,3,1,3,1,0,7,2,1
1,2,1,1,2,2,1,0,1,1,1
4,2,2,1,1,2,1,0,2,1,1
3,2,1,2,2,2,1,0,1,3,1
2,3,3,1,1,2,1,0,28,2,1
4,2,2,1,1,1,1,250,24,1,1
2,2,1,1,2,2,1,0,2,3,1
4,2,2,1,1,1,1,0,12,21,1
4,2,1,2,2,2,1,0,4,27,1
2,2,2,1,1,2,1,0,2,1,1
1,1,1,1,1,2,1,0,2,1,1
1,2,2,2,2,2,1,0,1,1,1
4,1,1,2,2,2,1,0,1,0,0
1,2,1,3,3,3,1,300,5,1,1
4,2,2,1,1,1,1,0,22,11,1
4,2,2,1,1,1,1,0,36,1,1
2,2,2,1,1,1,1,0,36,52,1
4,2,1,1,1,2,1,0,8,11,1
4,2,1,1,2,1,1,0,10,1,1
4,2,1,1,2,2,1,0,2,1,1
4,1,2,2,2,2,1,0,2,1,1
4,2,1,1,3,3,1,0,3,2,1
3,2,1,2,2,2,1,0,3,2,1
4,2,1,1,3,1,1,0,0,1,1
3,1,2,1,3,1,1,0,60,1,1
2,2,1,1,1,2,1,0,2,2,1
4,2,1,2,2,2,1,0,2,0,0
1,2,2,1,1,1,1,0,12,36,1
3,2,2,1,2,2,1,0,1,1,1
2,3,1,3,3,3,1,0,2,1,1
1,2,1,1,2,2,1,0,2,1,1
3,2,2,2,2,2,1,0,1,5,1
4,3,1,3,3,1,2,0,24,13,1
4,2,1,1,1,1,1,200,3,1,1
4,2,1,1,2,2,1,0,2,1,1
3,2,1,2,2,2,1,0,2,2,1
4,1,2,3,3,3,1,0,12,3,1
4,2,2,1,2,2,1,0,12,1,1
3,2,1,1,1,2,1,0,1,0,0
2,2,1,1,1,1,1,0,11,1,1
2,2,2,1,3,3,1,0,74,1,1
3,2,3,1,1,1,1,0,36,1,1
3,2,2,1,2,2,1,0,3,1,1
3,2,1,1,1,2,1,0,2,8,1
3,2,2,1,1,2,1,0,3,1,1
1,1,1,1,1,2,1,0,48,25,1
3,1,1,1,3,1,1,60,3,1,1
3,2,1,1,1,1,1,0,2,2,1
2,1,2,3,3,2,1,0,36,1,1
2,2,3,1,2,2,1,0,3,0,0
1,1,1,2,2,2,1,0,4,0,0
1,2,1,2,2,2,1,0,2,1,1
3,2,1,1,2,2,1,0,1,1,1
2,2,1,1,1,1,1,0,60,2,1
2,2,2,1,1,2,1,0,2,4,1
4,2,2,1,1,2,1,0,4,2,1
3,3,2,1,1,2,1,0,3,1,1
1,2,1,1,2,2,1,0,2,1,1
4,2,1,1,1,1,1,0,3,2,1
2,2,2,2,2,2,1,0,2,1,1
1,1,2,1,2,2,1,0,1,2,1
4,2,1,1,1,1,1,0,18,1,1
4,1,2,2,2,2,1,0,1,1,1
2,2,1,1,1,2,1,20,3,1,1
2,2,2,1,1,1,1,120,6,1,1
2,3,2,3,3,3,1,0,6,1,1
2,2,1,1,1,2,1,0,2,1,1
3,2,1,3,3,3,1,0,24,64,1
4,2,1,3,3,3,1,0,6,0,0
2,2,2,1,2,2,1,0,2,1,1
1,1,2,1,1,2,1,0,48,0,0
1,2,1,2,2,2,1,1,2,1,1
2,2,1,1,2,2,1,0,3,1,1
1,2,1,1,2,2,1,0,1,1,1
4,2,2,3,1,3,1,0,53,0,0
4,1,1,2,2,2,1,0,1,1,1
4,2,2,1,1,1,1,0,7,1,1
2,1,1,2,2,2,1,0,4,49,1
2,2,2,1,2,2,1,0,1,1,1
2,2,1,1,2,2,1,0,1,1,1
2,1,1,1,2,2,1,0,2,1,1
4,2,1,3,3,3,1,0,48,1,1
4,2,1,3,3,3,1,0,1,1,1
1,1,1,2,2,2,1,0,2,1,1
2,2,1,3,3,2,1,0,1,1,1
2,1,3,1,1,2,2,300,48,9,1
2,1,1,2,2,2,1,0,1,0,0
4,2,1,1,1,1,1,100,3,3,1
1,3,2,1,1,2,1,0,7,1,1
4,2,1,1,1,2,1,0,3,1,1
2,2,1,1,1,2,1,0,1,7,1
3,1,1,2,2,2,1,0,3,3,1
2,2,1,2,2,2,1,0,3,2,1
4,2,2,3,3,1,1,150,12,7,1
3,2,1,1,1,2,1,0,2,1,1
2,1,1,2,2,2,1,0,2,0,0
4,1,2,1,3,2,1,0,3,36,1
1,2,3,1,1,2,1,100,25,1,1
1,2,1,3,3,3,1,0,14,13,1
2,3,2,1,2,2,1,0,1,1,1
3,2,2,1,1,2,1,0,1,4,1
4,1,1,3,3,2,1,30,1,23,1
1,2,2,1,1,2,1,0,10,1,1
4,2,1,1,2,2,1,0,7,1,1
4,1,1,2,2,2,1,0,2,1,1
1,2,2,2,2,2,1,0,1,1,1
1,2,2,1,1,1,1,150,12,1,1
4,2,2,1,1,1,2,0,84,35,1
1,2,1,2,2,2,1,0,3,4,1
4,2,2,1,2,2,1,0,6,1,1
4,1,1,1,1,2,1,40,4,1,1
2,2,1,1,1,2,1,0,8,7,1
3,2,1,2,2,2,1,0,1,0,0
0,2,1,1,2,2,1,0,1,1,1
0,2,1,2,2,2,1,0,18,4,1
4,1,1,2,2,2,1,0,2,52,1
4,2,2,2,2,1,1,0,36,2,1
3,2,2,3,3,2,1,0,2,3,1
4,2,2,3,1,3,1,0,6,1,1
3,1,1,2,2,2,1,0,2,5,1
1,3,1,2,2,2,1,50,1,4,1
4,2,1,1,1,1,1,0,18,1,1
2,3,2,1,2,2,1,0,4,1,1
4,2,1,2,2,2,1,0,6,1,1
2,2,1,1,2,2,1,0,2,17,1
3,2,1,1,3,3,1,0,4,1,1
3,2,2,1,2,2,1,0,2,1,1
3,2,2,2,2,2,1,0,1,1,1
3,2,1,1,1,2,1,0,2,7,1
2,2,1,2,2,2,1,0,8,1,1
4,2,2,1,1,2,1,0,1,1,1
4,1,1,3,3,3,1,0,3,0,0
1,2,1,1,1,2,1,0,3,8,1
2,2,3,1,1,2,1,100,3,2,1
3,2,2,2,2,2,1,0,4,1,1
2,1,1,2,2,2,1,0,12,0,0
1,2,2,2,2,2,1,0,0,1,1
1,3,3,1,1,2,1,0,72,2,1
1,1,2,2,2,2,1,0,1,23,1
1,2,1,3,3,3,1,0,1,1,1
4,1,1,1,1,2,1,0,3,1,1
4,2,2,3,3,3,1,0,12,1,1
3,2,2,1,1,2,1,0,2,1,1
1,2,1,3,3,2,1,0,2,1,1
4,2,2,1,3,3,1,0,4,12,1
1,2,1,1,1,1,1,0,3,1,1
1,2,1,2,2,2,1,0,4,1,1
4,1,1,3,3,3,1,0,3,1,1
3,2,1,1,1,1,2,0,4,27,1
2,2,1,1,2,1,1,100,12,23,1
1,2,2,1,1,1,1,0,36,49,1
1,2,3,1,2,2,1,100,2,1,1
1,2,1,1,1,2,1,0,4,17,1
1,1,2,1,1,2,1,0,5,6,1
3,2,2,1,2,2,1,0,12,1,1
1,2,1,3,3,3,1,0,5,1,1
1,2,1,2,2,2,1,0,2,0,0
4,2,1,2,2,2,1,0,48,6,1
4,2,2,1,1,2,1,0,5,2,1
3,2,1,1,2,2,1,0,2,4,1
4,1,1,3,3,3,1,0,5,0,0
2,1,1,1,3,2,1,0,4,2,1
1,2,2,2,2,2,1,0,2,1,1
4,2,2,2,2,2,1,0,3,1,1
2,1,1,2,2,2,1,0,4,10,1
1,2,2,3,3,3,1,0,5,49,1
2,1,1,1,1,2,1,0,3,1,1
2,2,1,2,2,2,1,0,2,7,1
2,2,2,2,2,2,1,0,2,0,0
3,2,1,1,1,2,1,0,4,64,1
4,3,1,1,1,2,1,0,3,5,1
2,2,1,1,1,1,1,0,12,15,1
2,1,1,1,2,2,2,0,4,7,1
4,2,1,1,1,1,1,0,5,5,1
4,2,1,1,1,2,1,0,2,6,1
3,2,1,3,3,2,1,0,2,8,1
4,2,1,1,2,2,1,0,1,1,1
1,1,2,1,1,2,1,0,3,1,1
2,2,2,2,2,2,1,0,2,1,1
4,2,1,1,1,2,1,0,17,9,1
0,1,1,1,1,3,1,0,8,1,1
1,2,2,1,2,2,1,0,5,17,1
4,2,1,2,2,2,1,0,12,1,1
3,2,2,1,1,1,1,150,12,1,1
4,2,1,1,1,1,1,100,5,1,1
3,2,1,1,2,2,1,0,2,3,1
2,1,1,1,3,3,2,0,24,1,1
1,2,1,1,1,2,1,0,5,2,1
4,2,1,1,2,2,1,50,2,0,0
4,2,2,3,3,3,1,0,2,0,0
1,2,2,1,1,2,1,0,2,1,1
1,2,2,1,1,2,1,0,36,1,1
4,3,3,2,2,2,1,0,24,0,0
4,2,3,1,2,2,2,0,9,21,1
4,2,1,3,3,3,1,0,1,0,0
4,2,2,1,1,1,1,0,3,28,1
3,1,1,1,1,1,1,0,10,4,1
2,2,1,1,1,1,1,0,12,4,1
1,2,1,1,2,2,1,0,3,1,1
2,1,1,1,1,1,1,0,48,1,1
1,2,3,1,1,2,1,0,24,1,1
2,2,2,1,1,2,1,0,76,1,1
3,1,2,3,3,3,1,0,2,1,1
1,2,2,2,2,2,1,0,30,3,1
2,1,1,1,1,2,1,0,2,0,0
3,2,2,2,2,2,1,0,1,1,1
2,2,3,1,1,1,1,0,48,0,0
2,2,1,1,1,2,1,30,9,1,1
4,2,3,1,1,1,1,0,12,1,1
4,1,1,1,1,1,1,0,6,1,1
1,2,1,1,2,2,1,0,1,0,0
4,1,2,1,2,2,1,100,4,23,1
2,1,1,1,1,3,1,0,18,5,1
3,2,1,2,2,2,1,0,1,0,0
3,2,1,2,2,2,1,0,2,0,0
4,2,1,1,2,2,1,0,2,0,0
3,2,1,1,1,1,1,0,132,1,1
4,3,2,1,1,1,1,0,16,5,1
4,1,1,3,3,3,1,0,84,8,1
4,2,2,3,3,3,1,0,48,1,1
1,2,1,1,2,2,1,0,2,1,1
1,2,3,3,1,3,1,0,12,3,1
1,2,2,1,1,2,1,0,2,1,1
4,3,3,1,1,1,1,0,72,7,1
1,2,2,3,3,3,1,0,3,1,1
2,1,2,1,1,3,1,0,60,1,1
2,1,1,1,2,2,1,0,2,1,1
2,2,2,2,2,2,1,0,2,7,1
4,1,1,2,2,2,1,0,1,1,1
4,2,1,1,1,2,1,0,7,7,1
1,2,1,2,2,2,1,0,3,7,1
4,1,1,2,2,2,3,0,6,12,1
1,1,1,2,2,2,1,0,2,1,1
2,2,1,1,1,2,1,0,3,1,1
3,2,1,1,3,2,1,0,2,7,1
1,2,2,2,2,2,1,0,2,1,1
4,2,2,2,2,2,1,0,1,1,1
1,2,2,1,1,2,1,0,4,1,1
3,2,1,1,1,1,1,500,24,3,1
2,2,2,1,2,2,2,0,2,1,1
4,3,2,3,3,3,1,0,24,0,0
4,1,2,3,3,2,1,0,12,11,1
1,1,2,2,2,2,1,200,3,0,0
2,2,1,2,2,2,1,0,1,1,1
2,2,1,2,2,2,1,200,2,1,1
4,3,1,1,1,1,1,0,12,1,1
4,1,1,1,1,1,1,0,12,1,1
3,2,1,1,2,2,1,0,3,3,1
4,2,1,1,2,2,1,0,2,1,1
3,2,1,2,2,2,1,0,1,1,1
4,1,1,1,1,2,2,0,72,39,1
1,1,1,3,3,3,1,0,2,2,1
1,2,1,1,1,2,1,100,1,6,1
3,3,1,1,1,1,1,0,36,2,1
3,2,1,3,3,2,1,0,3,7,1
3,1,1,3,3,3,1,0,2,0,0
4,3,1,1,1,1,1,0,24,1,1
4,2,1,1,1,1,1,100,11,1,1
2,2,2,2,2,2,1,0,12,1,1
4,1,2,3,3,3,1,0,3,1,1
4,1,2,2,2,2,1,0,12,5,1
1,3,1,1,1,1,1,200,60,1,1
4,1,2,1,2,2,1,0,1,8,1
3,2,1,1,2,2,1,0,2,1,1
3,3,1,1,1,2,1,0,6,1,1
2,2,1,3,3,3,1,0,3,11,1
4,2,2,1,2,3,1,0,2,13,1
1,1,1,2,2,2,1,0,2,8,1
4,3,1,1,2,2,1,0,3,1,1
2,2,1,2,2,2,1,0,5,1,1
2,2,2,1,1,1,1,200,24,1,1
1,1,2,2,2,2,1,0,4,0,0
4,2,1,2,2,2,1,0,3,4,1
3,2,2,1,1,2,1,0,4,2,1
4,2,1,1,1,1,1,0,19,2,1
1,2,2,1,2,2,1,50,2,1,1
1,2,1,2,2,3,1,0,2,1,1
3,1,2,1,2,2,1,0,6,14,1
3,3,2,2,2,2,1,100,2,1,1
2,2,2,1,1,2,1,0,2,1,1
4,3,1,1,1,1,1,50,12,2,1
4,2,1,1,1,1,1,0,11,5,1
0,1,2,2,2,2,1,0,2,1,1
4,2,2,1,2,1,1,0,36,1,1
1,2,1,3,3,1,1,0,12,1,1
4,2,2,3,3,3,1,0,1,0,0
4,1,1,3,3,3,1,0,8,2,1
2,1,1,1,1,3,1,0,24,2,1
2,2,1,2,2,2,1,100,1,1,1
3,2,1,2,2,2,1,1,3,3,1
4,2,2,1,1,2,1,0,3,2,1
2,3,2,2,2,2,1,50,2,1,1
2,1,1,1,3,3,1,0,12,1,1
2,2,1,1,1,1,1,0,8,1,1
1,2,2,1,2,2,1,0,1,2,1
3,2,2,1,2,2,1,50,2,1,1
2,2,3,2,2,2,1,0,1,3,1
4,2,1,1,1,1,1,0,12,1,1
3,2,2,3,1,3,1,0,6,8,1
3,2,1,1,2,2,1,0,2,1,1
4,2,2,3,3,3,1,0,48,0,0
2,2,2,3,3,2,1,0,1,1,1
3,2,1,2,2,2,1,0,0,0,0
4,2,2,1,1,1,1,0,60,3,1
2,2,1,2,2,2,1,0,0,1,1
2,2,1,1,1,2,1,0,2,1,1
2,2,1,2,2,2,1,0,3,1,1
4,2,1,2,2,2,1,0,3,1,1
4,2,2,2,2,2,1,0,2,18,1
4,2,1,2,2,2,1,0,2,1,1
2,2,2,2,2,2,1,0,1,1,1
4,3,1,1,1,1,1,200,24,25,1
4,2,2,2,2,2,1,0,10,1,1
3,2,1,1,1,2,1,0,2,10,1
2,3,3,2,2,2,1,50,1,2,1
2,1,3,1,1,1,1,150,60,6,1
2,2,1,2,2,2,1,15,1,1,1
3,2,1,1,1,2,1,100,4,2,1
4,2,1,1,1,1,1,150,5,1,1
4,2,1,1,1,1,1,100,7,3,1
4,3,1,3,3,1,1,0,36,3,1
3,2,1,1,1,3,1,0,2,1,1
2,2,1,1,2,2,1,100,2,1,1
3,2,1,3,3,2,1,0,2,2,1
2,2,1,2,2,2,1,0,0,1,1
2,1,2,2,2,2,1,0,1,1,1
2,2,1,2,2,2,1,0,2,1,1
1,2,1,1,1,2,1,0,2,2,1
3,1,2,1,1,2,1,80,4,1,1
4,2,2,2,2,2,1,0,1,11,1
1,1,1,1,2,2,1,0,3,17,1
4,2,1,1,1,2,1,0,3,1,1
4,1,2,1,3,3,2,100,60,24,1
